IDCT with 4Alu4Mul, 13 nodes
IDCT with fpga_2Mul, 13 nodes
IDCT with onePerOp, 13 nodes
IDCT with 2Alu2Mul, 13 nodes
IDCT with 4Alu2Mul, 13 nodes
IDCT with fpga_4Mul, 13 nodes
TwofishEngine-encryptBlock-90-1017 with 4Alu4Mul, 250 nodes
TwofishEngine-encryptBlock-90-1017 with fpga_2Mul, 250 nodes
TwofishEngine-encryptBlock-90-1017 with onePerOp, 250 nodes
TwofishEngine-encryptBlock-90-1017 with 4Alu2Mul, 250 nodes
TwofishEngine-encryptBlock-90-1017 with fpga_4Mul, 250 nodes
SHA256Digest-processBlock-119-1722 with 4Alu4Mul, 378 nodes
SHA256Digest-processBlock-119-1722 with fpga_2Mul, 378 nodes
SHA256Digest-processBlock-119-1722 with onePerOp, 378 nodes
SHA256Digest-processBlock-119-1722 with 2Alu2Mul, 378 nodes
SHA256Digest-processBlock-119-1722 with 4Alu2Mul, 378 nodes
SHA256Digest-processBlock-119-1722 with fpga_4Mul, 378 nodes
SerpentEngine-encryptBlock-51-2815 with 4Alu4Mul, 563 nodes
SerpentEngine-encryptBlock-51-2815 with fpga_2Mul, 563 nodes
SerpentEngine-encryptBlock-51-2815 with onePerOp, 563 nodes
SerpentEngine-encryptBlock-51-2815 with 2Alu2Mul, 563 nodes
SerpentEngine-encryptBlock-51-2815 with 4Alu2Mul, 563 nodes
SerpentEngine-encryptBlock-51-2815 with fpga_4Mul, 563 nodes
CubeHash512Digest-sixteenRounds-2-2891 with 4Alu4Mul, 546 nodes
CubeHash512Digest-sixteenRounds-2-2891 with 2Alu2Mul, 546 nodes
CubeHash512Digest-sixteenRounds-2-2891 with 4Alu2Mul, 546 nodes
