;Resource;Length;Nodes;Unequal
BLAKE256Digest-processBlock-189-1577;4Alu4Mul;90;308;
BLAKE256Digest-processBlock-189-1577;fpga_2Mul;61;308;
BLAKE256Digest-processBlock-189-1577;onePerOp;119;308;
BLAKE256Digest-processBlock-189-1577;2Alu2Mul;179;308;
BLAKE256Digest-processBlock-189-1577;4Alu2Mul;90;308;
BLAKE256Digest-processBlock-189-1577;fpga_4Mul;61;308;
IDCT;4Alu4Mul;0;13;
IDCT;fpga_2Mul;0;13;
IDCT;onePerOp;0;13;
IDCT;2Alu2Mul;0;13;
IDCT;4Alu2Mul;0;13;
IDCT;fpga_4Mul;0;13;
SerpentEngine-makeWorkingKey-245-1724;4Alu4Mul;96;285;
SerpentEngine-makeWorkingKey-245-1724;fpga_2Mul;97;285;
SerpentEngine-makeWorkingKey-245-1724;onePerOp;193;285;
SerpentEngine-makeWorkingKey-245-1724;2Alu2Mul;191;285;
SerpentEngine-makeWorkingKey-245-1724;4Alu2Mul;96;285;
SerpentEngine-makeWorkingKey-245-1724;fpga_4Mul;97;285;
ADPCMn-decode-425-472;4Alu4Mul;8;12;
ADPCMn-decode-425-472;fpga_2Mul;8;12;
ADPCMn-decode-425-472;onePerOp;8;12;
ADPCMn-decode-425-472;2Alu2Mul;8;12;
ADPCMn-decode-425-472;4Alu2Mul;8;12;
ADPCMn-decode-425-472;fpga_4Mul;8;12;
FFT-fft3-688-929;4Alu4Mul;16;50;yes
FFT-fft3-688-929;fpga_2Mul;26;50;yes
FFT-fft3-688-929;onePerOp;46;50;yes
FFT-fft3-688-929;2Alu2Mul;32;50;yes
FFT-fft3-688-929;4Alu2Mul;24;50;yes
FFT-fft3-688-929;fpga_4Mul;22;50;yes
FFT-fft3-387-948;4Alu4Mul;36;111;
FFT-fft3-387-948;fpga_2Mul;56;111;
FFT-fft3-387-948;onePerOp;94;111;
FFT-fft3-387-948;2Alu2Mul;70;111;
FFT-fft3-387-948;4Alu2Mul;54;111;
FFT-fft3-387-948;fpga_4Mul;48;111;
SHA256Digest-processBlock-735-750;4Alu4Mul;2;3;
SHA256Digest-processBlock-735-750;fpga_2Mul;2;3;
SHA256Digest-processBlock-735-750;onePerOp;2;3;
SHA256Digest-processBlock-735-750;2Alu2Mul;2;3;
SHA256Digest-processBlock-735-750;4Alu2Mul;2;3;
SHA256Digest-processBlock-735-750;fpga_4Mul;2;3;
TwofishEngine-encryptBlock-90-1017;4Alu4Mul;0;250;
TwofishEngine-encryptBlock-90-1017;fpga_2Mul;0;250;
TwofishEngine-encryptBlock-90-1017;onePerOp;0;250;
TwofishEngine-encryptBlock-90-1017;2Alu2Mul;128;250;
TwofishEngine-encryptBlock-90-1017;4Alu2Mul;0;250;
TwofishEngine-encryptBlock-90-1017;fpga_4Mul;0;250;
TwofishEngine-setKey-262-1953;4Alu4Mul;0;331;
TwofishEngine-setKey-262-1953;fpga_2Mul;134;331;
TwofishEngine-setKey-262-1953;onePerOp;266;331;
TwofishEngine-setKey-262-1953;2Alu2Mul;0;331;
TwofishEngine-setKey-262-1953;4Alu2Mul;112;331;
TwofishEngine-setKey-262-1953;fpga_4Mul;134;331;
SerpentEngine-makeWorkingKey-179-250;4Alu4Mul;12;20;
SerpentEngine-makeWorkingKey-179-250;fpga_2Mul;13;20;
SerpentEngine-makeWorkingKey-179-250;onePerOp;17;20;
SerpentEngine-makeWorkingKey-179-250;2Alu2Mul;14;20;
